Total_position,Total_company,Salary_per_month
文案策划,北京峰谷文化传播有限公司,3000.0
行政文秘,北京大成方宇科技有限公司,3000.0
留学顾问,无距（北京）文化传媒有限公司,3960.0
行政前台,中青博联整合营销顾问股份有限公司,4000.0
项目协调助理,北京大奇观国际文化科技有限公司,4500.0
实习生（销售支持实习生）,北京星王星文化传播有限公司,3000.0
选题编导（可实习）,航美传媒集团有限公司,3000.0
平面设计师,艾特怡国际会展服务（北京）有限公司,4500.0
写字楼大堂前台兼水吧服务,北京东方凯灿文化艺术传媒有限公司,4500.0
sns实习生,北京培深文化有限公司,6000.0
市场部***/实习生,华盛智业·李光斗品牌营销策划机构,3500.0
三维建模师,北京色彩空间文化传媒有限公司,3000.0
天猫客服,北京旭泰达教育科技有限公司,3000.0
行政管理,中视盛宇（北京）文化传媒有限公司,4500.0
销售代表,北京天昊润蓝广告有限公司,8000.0
人力资源实务图书编写,北京中视浩诚国际广告有限公司,2500.0
短视频后期剪辑,万合体育,1760.0
图书销售助理,斐思达品牌设计咨询（北京）有限公司,2000.0
视频技术,北京中雕鼎艺雕塑景观工程有限公司,5000.0
网络主播,北京时代巨流文化有限公司,3000.0
实习生,北京雅颂华声文化传播有限公司,4500.0
纪录片编导实习生,北京昊锐时代文化传播有限公司,6000.0
法语编辑助理,北京弗迪思锐文化传媒有限公司,3000.0
运营实习生,上海奥菲广告传媒股份有限公司北京...,3000.0
网球教练,北京三达文化传播有限公司,3000.0
销售实习生,鼎盛佳和（北京）文化传播有限公司,3000.0
电话客服专员,深圳市聚娇文化传播有限公司,3000.0
英语翻译,奇奥纳（北京）文化传播有限公司,3300.0
文案实习生,北京水木欣欣文化传媒有限公司,2000.0
打造2018北京新动力组合（练习生）,CBM影视译制机构,4500.0
前台/客服专员,北京一木三木科技发展有限公司,4500.0
新媒体文案（实习生）,北京好动体育科技有限公司,8000.0
微信销售,北京桂誉教育科技有限公司,0
文员,公司名,0
电话销售+住宿+午餐,北京探宝文化传播有限公司,6000.0
